review,sentiment
ভাই পুরো হতাশ করলেন। প্রোডাক্ট না থাকলে অর্ডার নিবেন না। তাই বলে এরকম ২ নাম্বারি করবেন। চাইলাম এশ কালার দিলেন হলুদ কালারের টা। সাদা কালার হইলেও মানান যাইতো কিন্তু হলুদ রং দেখতে কেমন লাগে। প্রথমবার অর্ডার করেছি পুরো আশাহত হলাম। আপনাদের এই ধরনের কাজ কর্মের দারাজের বদনাম হয়। ,Negative
পুরাই ফালতু ওর্ডার করছি সাদা কালার আর দিসে কি এক কালার। আর টিশার্টে মানটা ও একদম বাজে. সেলরকে ও বল্লাম চেক করে দিতে কিন্তু তাও দিলো না। আপনাদের কারণে দারাজের নাম বদনাম হয়,Negative
"অর্ডার করলাম ফুল হাতা আর ডেলিভারি দিলেন হাফ হাতা। ""M "" সাইজ ঠিকই আছে কিন্তু প্রকৃতপক্ষে ""S"" সাইজের চেয়েও ছোট। ফালতু",Negative
ভাই এটা কি পণ্য দিলেন ছবির সাথে বাস্তবের কোন মিল নেই এরকম পণ্য একদমে আশা করিনি ভাইজান,Negative
"কোয়ালিটি আর ফিনিশিং খারাপ, আর ডেলিভারি অনেক দেড়িতে দিয়েছে, তার পরও দাম হিসেবে ভালো",Positive
ধন্যবাদ দারাজ কে। আর ধন্যবাদ জানায় সেলার কে সে আমাকে ভালো টি-শার্ট দেওয়ার জন্য।কম দামি ভালো টি-শার্ট পাবো ভাবি নাই। যেমন চাইছি তেমন ই পাইছি।,Positive
এই টাকায় এই বাজারে এই জিনিস কল্পনা ও করাও যায় না। আমি আরো কিছু অর্ডার করবো।,Positive
কি অর্ডার দিয়েছি আর কি ডেলিভারি দিয়েছে দেখলেই মনে হচ্ছে সেলার কে সামনে পেলে দুইটা চপাট ঘা কষে দিতাম। যে সব সেলার দারাজ এর ভাবমুর্তি ক্ষুন্ন করছে তাদেরকে কেন ডিলিষ্টেট না করে ব্যবসা করার সুযোগ দিচ্ছে তা বোধগম্য নয়। ধিক্কার জানায় সেলার কে,Negative
"সাদা আর এস এর মধ্যে পার্থক্য বুঝেন ভাই?? হাজার হাজার পিস মাল অর্ডার নিয়ে খালি টাকা ই কামাইলেন। শীতের জন্য ফুল হাতা গেঞ্জি বিক্রি করতেছেন, কি কাপড় দিছেন এইটা। সেন্টু গেঞ্জির কাপড় ও এর থেকে মোটা। ",Negative
"ধন্যবাদ দরজা এবং সেলারকে, যেমন ওর্ডার করছি তেমন ই পাইছি , দাম অনুযায়ী প্রডাক্ট কোয়ালিটি খুব ভাল",Positive
দুইটা একই রকম দিছে।যেটা চাইছি সেটা দেয় নি।চাইছি একটা দিছে আর এক।চাইলাম দুই ডিজাইনের দুইটা দিলেন একই ডিজাইনের দুই কালার।হতাশাজনক।,Negative
একদম বাজে ডেলিভারি। দেখায় একটা আর ডেলিভারি দেয় একটা। শালার চিটারের বাচ্চা। আজকে থেকে দারাজের গুষ্টি চুদলাম। আর কোনো দিন দারাজ থেকে কোন পন্য সামগ্রিই কিনবো না। সালার মাদারচুদরা।,Negative
এককথায় সেলার একজন বাটপার ছবি দিছে একটা মাল পাঠাইছে আর একটা,Negative
"দাম হিসেবে টি সাট এর ফেব্রিক্স ভাল না,",Negative
কাপড়ের উপরে লাল প্রিন্টের কোয়ালিটি তেমন ভালো মনে হয়নি।,Negative
"প্রায় ১ মাস ব্যাবহার করে রিভিউ দিচ্ছি। কাপড়ের মান খুব একটা ভালো না, এক ধোয়ার পর চতুর্দিকে প্রায় ৪ সেমি বেড়ে গেছে! আর কাপড় মোটেও প্রিমিয়াম না! এই কাপড়ের টিশার্ট কোনভাবেই ৩০০ টাকা হতে পারে না। আগে হয়তো কোয়ালিটি ভালো ছিল, তাই রিভিউ ভালো কিন্তু এখনকার কোয়ালিটি সন্তুষজনক নয়। কাপড়ের মান অনুযায়ী এই প্রডাক্টটির  রেটিং দিব ৫.৫/১০",Negative
যেমনটা চেয়েছিলাম তেমনটাই পেয়েছি। সেলারের উপর সন্তুষ্ট। ধন্যবাদ সেলারকে।,Positive
"ট্রি শার্ট পেয়ে আমি সন্তোষ্ট, যদি বা রং টা ছবির মতো পায়নি।",Positive
একদম ছবির মত। সুন্দর। সেলার রিকমেন্ডেড।,Positive
সবকিছুই ঠিকঠাক কিন্তু দাম অনুযায়ী কাপড়ের মান নিয়ে একটু সন্দিহান।,Positive
"মোটামুটি, তবে আরও ভালো আশা করছিলাম। যাই হোক ভাল",Positive
এই রেঞ্জ এ মোটামুটি। ডেলিভারি তারাতাড়ি পাইছি।,Positive
"প্রিমিয়াম বলে বিজ্ঞাপন দিয়েছেন , দাম হিসাবে ট্রি শার্ট আর ভাল হওয়া দরকার।",Negative
দাম অনুযায়ী আশানুরুপ হলোনা। প্রথম ধোয়ার দিন থেকেই রং উঠে যায়। প্রতিবার ধোয়ার সময় রং উঠে। বেশি দিন পরা যাবেনা রং চলে যাবার কারণে।,Negative
"ছোট একটা ছিদ্র, বেশি বড় না, অনলাইনের প্রোডাক্টতো এসব ছোটখাটো ছিদ্রযুক্ত জামা ঢুকাই দিলেও সমস্যা নাই।",Negative
ছবিতে যেমন এরকম পাইনি,Negative
আমার অনেক পচন্দ হয়েছে ,Positive
ভালো না বেশি একটা,Negative
যেটা অর্ডার করছি সেটা পেয়েছি 🥰 আর পন্যের মান সাউন্ড কোয়ালিটি অসাধারন🥰❤️,Positive
"ইয়ারফোনটি অনেক ভালো লেগেছে সাউন্ড কোয়ালিটি ভালো, সাথে ডাবল মাইক্রোফোন। অনলাইন গেম খেলার জন্য খুব কাজে দিচ্ছে, আমি মুলত পাবজি খেলি এনিমির পায়ের শব্দ নিখুঁত ভাবে শোনা যাচ্ছে।",Positive
আমি আমার সঠিক জিনিস টি‌ পেয়েছি,Positive
"এইটা একটা মাল অস্থির জিনিস। যেমন আসা করছি তার থেকেও ভালো মাত্র ১দিনে ডেলিভারি পেয়েছি, এক্টিভ এবং হেল্ফুল সেলার।",Positive
কোয়ালিটি ডিজাইন সব কিছু আলহামদুলিল্লাহ তাছাড়া L সেপ প্লাগ গেম খেলার জন্য অনেক হেল্পফুল আমি সন্তুষ্ট,Positive
"অসাধারণ ইয়ারফোন, গেমিং এক্সপেরিয়েন্স দুর্দান্ত 🤩 সেলার সাথে একটি পারফিউম গিফট করছে, ধন্যবাদ।",Positive
প্রথমে প্যাকেজিং নিয়ে কিছু কথা সেলার খুব যত্ন করে বক্সে দিয়ে পাঠিয়েছে এজন্য অনেক ধন্যবাদ ইয়ারফোনের কোয়ালিটি মাশাল্লাহ। যেখানে হাজারের নিচে ভালো গেমিং ইয়ারফোন পাওয়া যায়না সেখানে এই দামে ইয়ারফোটা প্রশংসার দাবিদার। ,Positive
"দুইটা নিলাম ।ভালো ছিল , আরেক টু বড় হলে ভালো হত। দেখা যাক এখন কত দিন যায় ।",Positive
ধন্যবাদ দারাজকে পণ্য টি দ্রুত পৌঁছেয়ে দেবার জন্য।তবে পানি ভরানোর জন্য কিছু একটা দিলে আরো ভালো হতো। কারন হট ব্যাগের পানি ভরানোর ফুটো ছোট্ট হবার কারনে পানি ভরতে সমস্যা সৃষ্টি হচ্ছে এবং ব্যাগটি ভিজে যাচ্ছে। পাশাপাশি রাইডারের ব্যবহার ভালো ছিলো,Positive
আলহামদুলিল্লাহ দারাজ থেকে এটা আমার ১৫তম কেনাকাটা।বরাবরের মতোই এবার ও আলহামদুলিল্লাহ ঠিকঠাকভাবে প্রডাক্ট পেয়েছি। ধন্যবাদ দারাজকে এত্ত কম দামে আর সময়ে এত্ত ভালো সার্ভিস দেয়ার জন্য,Positive
দ্রুত ডেলিভারি দেওয়ার জন্য ধন্যবাদ। প্রোডাক্ট খুব ভাল ছিল। সেলারও দারাজ কে ধন্যবাদ।,Positive
সেলার ভালো। প্রডাক্টও ভালো। মাত্র ১৬৫ টাকা দামে ভালো জিনিস।,Positive
এটায় চার্জার এবং পানি ভরার জন্য একটা কৌটা মিসিং।,Negative
বেশ ভালো ব্যাগ। সেলার ভালো রেকোমেন্ডেট।♥️,Positive
খুব ভালো ছিলো আর খুব সুন্দর,Positive
দারন একটি পোডাক্ট সবাই নিতে পারেন।এটি কোয়ালিটি অনপক ভাল।,Positive
বেশি চাপ পরলে পানি লিক করে।,Negative
ভালো ছিল,Positive
আলহামদুলিল্লাহ। পন্য হাতে পাওয়ার পর খুব ভালো লাগলো । সত্যিই সেলার ভাই অনেক ভালো যেমন টা চেয়েছি তেমন টাই পেয়েছি সব দিক থেকে ভালো ছিলো সাথে একটা মোবাইল স্টান ফ্রি পেলাম । সাউন্ড কোয়ালিটি বেজ কোয়ালিটি সব ঠিকঠাক। ধন্যবাদ দারাজ বাংলাদেশ ধন্যবাদ সেলার,Positive
আলহামদুলিল্লাহ অনেক ভালো একটা প্রোডাক্ট এই দামে এরকম প্রোডাক্ট পাব কখনো আশা করিনি ধন্যবাদ দারাজ ভালো প্রোডাক্ট দেওয়ার জন্য,Positive
টাকা হিসেবে প্রডাক্ট এর কোয়ালিটি অনেক ভালো।যেই কেউ চাইলে নিতে পারেন।,Positive
অর্ডার করেছি একরকম হেডফোন দিয়েছে অন্যরকম জঘন্যতম দুইটি হেডফোন যার কোয়ালিটি ছিল খুবই বাজে এভাবে মানুষের হয়রানি করবেন না।,Negative
খুব দ্রুতই হাতে পেয়েছি। দাম হিসেবে প্রোডাক্টটি খারাপ না। সাউন্ড কোয়ালিটি ও মোটামুটি ভালো।🙂🙂,Positive
"বাজিয়ে দেখলাম অনেক ভালো, এই দামে অনেক ভালো",Positive
খুব সুন্দর একটি ব্যাগ দারাজ কে ধন্যবাদ,Positive
দাম অনুযায়ী ভালো ।তবে একটু ছোট ।,Positive
যেটা চেয়েছি সেটা দেন নি।,Negative
ব্যাগটি সুন্দর!,Positive
এটি বিল্ড কোয়ালিটি দাম অনুযায়ী একদমই ভালো নাহ্,Negative
ব্যাগের হাতলে হালকা নেট তেমন শক্ত নাহ্.... তবে চলে! আর বাকি সব ঠিক আছে!,Positive
ভালোই ছিলো👍,Positive
দাম অনুযায়ী একদম পারফেক্ট,Positive
"একদম ছোট ব্যাগ, ছবিতে যা দেখেছি বাস্তবে তা না...খুবই বাজে (বয়কট করলাম)",Negative
"খুব ছোট, একদম ফালতু, কেউ কিনবেন না",Negative
কাপড় ভালো না। পলিস্টার ফেব্রিক। ,Negative
একবারে বাজে কাপর এর আগেও একটা প্যান্ট আনছিলাম এরকম বাজে পরসে। দারাজের পন্যের মধ্যে কাপর একটু ও ভালনা।।,Negative
যেটা অর্ডার করেছিলাম সেটাই পেয়েছি। দাম হিসেবে যথেষ্ট ভালো পণ্য। মানও সন্তোষজনক। আমার বউ খুবই পছন্দ করেছে। পণ্যটি নিশ্চিন্তে কিনতে পারেন। 👌👌👌,Positive
"এই প্রথম আমার সাথে প্রতারনা করলো, ওর্ডার ওডেলিভারি চার্জ সহ দাম দিয়েছে, অথচো দাম নিছে আরো ৭০/ বেশি!",Negative
ছবিতে যেই রকম দেখেছি সেই রকম এ পেয়েছি। খারাপ না মোটামুটি ভালো,Positive
ভালো লেগেছে। তবে কাপড়টা আর একটু ভালো হলে ভাল হতো। কেনা যায় ১০০℅,Positive
নিঃসন্দেহে নিতে পারেন অনেক ভালো ডিজাইন টা খুব সুন্দর।। যেমন চাইছি ঠিক তেমনি পাইছি ,Positive
"খুবই ভালো বেডশিট, আমার ২৯৫ টাকা পড়েছে। এই দামে ১১/১০। দ্রুত পেয়েছি। কেউ চাইলে নিতে পারেন। তবে খুব বেশি মোটা কাপড় না। কিন্তু এই দামে এর চেয়ে বেশি আশা করা যায় না। ৫★ আমার পক্ষো থেকে।",Positive
"সেলারকে ধন্যবাদ। প্রোডাক্টের সাথে ছবি, পন্যের বর্ননার মিল আছে। ২ দিনে পেয়েছি। এই সেলার থেকে নেওয়ার জন্য রিকমেন্ড থাকবে। ",Positive
দাম অনুযায়ী আরও একটু ভালো আশা করেছিলাম। ময়লা ধরবে বেশি। তবে সেলারকে ধন্যবাদ যেমন দেখাইছে তেমন পেয়েছি।,Positive
দামের তুলনায় মানে কাপড় ভালো,Positive
আমি সত্যই অবাক এমন কি করে হয়।চাইলাম একটা হলো তার পুরো উলট।,Negative
দাম হিসেবে মোটামুটি ভালোই। যেরকম দেখানো হয়েছে সেই রকম,Positive
সেলার ও দারাজকে ধন্যবাদ। দারুন একটি প্রডাক্ট দেওয়ার জন্য। কাপড়টি অামার খুবই পছন্দ হয়েছে।,Positive
দুটো বালিশের কভার দেয়ার কথা থাকলেও আমাকে মাএ একটা বালিশের কভার দিয়েছে।,Negative
"বেশি ভালো হয় নাই, বালিশের কাভার টা ছিড়া",Negative
দেখুন চে‌য়ে‌ছি কি আর দি‌য়ে‌ছেন কি। আপ‌নি নি‌জেই মিলান প্রিয় বি‌ক্রেতা ।,Negative
ছবিতে যে রকম দেখেছি সেই রকম পেয়েছি। তবে বেডশিট কাপড়ের মান ভালো না।,Positive
দাম হিসেবে খুবই সুন্দর হয়েছে,Positive
মোটামুটি ঠিক আছে ৷ কাপড় বেশ পাতলা ৷ সাইজ যা আছে চলে ৷৷,Positive
এক কথায় অসাধারণ 👌,Positive
দাম অনুযায়ী মোটামুটি ছিল। আর একটু ভাল আশা করছিলাম।,Positive
খুব খারাপ অবস্থা। অনেক জায়গায় ফেসে গেছে।,Negative
অনেক ভালো ধন্যবাদ দারাজকে,Positive
"একদম বাজে প্রোডাক্ট।পাতলা কাপড়, মানে খুব বেশি পাতলা।এপাশ থেকে আরেক পাশ দেখা যায়।",Negative
আমি কি অর্ডার করেছি? আর আমাকে দিয়েছে কি? আমি এটা দিয়ে কি করবো প্রশ্ন রেখে গেলাম,Negative
খুব বাজে কোয়ালিটি। এটা নেওয়ার থেকে টাকা টা ফেলে দেওয়া মনে হয় ভাল হবে।,Negative
খারাপ না ভালোই তবে দাম আরেকটু কম রাখলে বেটার হতো।,Positive
এই দামের ভিতর সেরা ৷ কালার পছন্দ মত দিয়েছেন ৷ ধন্যবাদ সেলার ভাই,Positive
মোটামুটি। বেশি ভালো না আবার বেশি খারাপ ও না।,Positive
অসম্ভব পাতলা। শীতকালে ব্যবহারের অনুপযোগি,Negative
আলহামদুলিল্লাহ দাম হিসেবে ভাল ছিল।,Positive
প্রডাক্ট ভালই ছিল ইউজ করে মজা পেয়েছি,Positive
একদম বাজে প্রডাক্ট একদম পাতলা,Negative
অডার দিলাম এক রকম দিলেন আর একরকম ফাইজলামি একটা সিমা থাকে,Negative
"খুব বাজে,টাউট বাটপার প্রতারক সেলার,যেটা চাইছি সেটা দেয়নাই, বাজে একটা জুতা দিছে,,সাবধান কেউ কিনবেন না এদের কাছ থেকে",Negative
চেয়ে ছিলাম লাল জুতা দিয়ে দিলো কালো। দেখেয়া এক নামবার জুতা। দিয়ে ৩ নামবার।,Negative
দাম অনুযায়ী মোটামুটি ভালো। আপনারাও কিনতে পারেন কোন সমস্যা নাই। ধন্যবাদ দারাজ ধন্যবাদ।ভাই এরকম প্রোডাক্ট দিবেন তাহলে আমরা বেশী বেশী কিনব,Positive
দাম হিসেবে ভালো হয়েছে আলহামদুলিল্লাহ। পছন্দ হয়েছে । এই দামে এর থেকে ভাল আশা করা যায় না।,Positive
অসাধারণ। এই দামে বেস্ট। নির্ধিধায় অর্ডার করতে পারেন।আমি ১০০ ভাগ সন্তুষ্ট। ধন্যবাদ দারাজ।,Positive
"চাইছি এক কালার, শালারা দিছে অন্য কালার, দারাজ সম্পুর্ণ ফালতু ও ২ নাম্বার, মানুষকে ঠকায়",Negative
ভাই আমি যেইটা চাইলাম সেইটা পাইনি কি করবো বলেন,Negative
"আমি যা চেয়েছি ঠিক তাই পেয়েছি, অনেক অনেক ধন্যবাদ দারাজকে",Positive
"আমি যে ভাবে চেয়েছি টিক, একি রকম পেয়েছি ধন্যবাদ, ডিলার কে, ধন্যবাদ এই কোম্পানি কে,আমাদের বিশ্বাসের মূল্য দেওয়ার জন্য",Positive
আলহামদুলিল্লাহ। পাঞ্জাবিটা দাম হিসেবে মোটামুটি ভাল।,Positive
দাম অনুযায়ী অনেক ভালো একটি পণ্য। ধন্যবাদ সেলারকে।,Positive
খুব বেশি ভালো না। ব্রেসলেট একটু বাঁকা। দাম হিসাবে একটু বেশি নিয়েছে।,Negative
এক কথায় অসাধারণ।,Positive
যেমনটা দেখানো হয়েছে ঠিক তার উল্টো একদমই বাজে ,Negative
খুবই ভাল মানের প্রডাক্ট পেয়েছি।এমন প্রডাক্ট দিলে সব সময়েই দারাজের প্রতি ভরসা থাকবে।ধন্যবাদ দারাজ ধন্যবাদ সেলার।😍,Positive
দাম অনুযায়ী গেঞ্জি ভালোই পেয়েছি । পছন্দ হলে যে কেউ নিতে পারেন । ডেলিভারি দ্রুত পেয়েছি। ধন্যবাদ,Positive
"দাম অনুযায়ী ভালো, সাইজ ঠিক আছে, যেমন চেয়েছিলাম তেমনি পেয়েছি। ধন্যবাদ দারাজ কেউ চাইলে কিনতে পারেন।",Positive
"ধন্যবাদ জানিয়ে ছোটো করবো না,, যেমন দেখছিলাম, তার থেকেও ভালো পেয়েছি,, আরও ২ টা অর্ডার দিচ্ছি, আশা করছি এই দুইটাও বেষ্ট পাবো,,৷৷ ৫ স্টার দিয়ে দিলাম💘",Positive
প্রোডাক্টটি অনেক ভালো। আপনারা নিতে পারেন। যেমনটা চেয়েছি ঠিক তেমনি। ধন্যবাদ দারাজকে।,Positive
খুব ভাল একটা গেঞ্জি পেলাম ধন্যবাদ দারাজ ,Positive
"ঠিক যেরকম ভেবেছিলাম, ঠিক সেই রকম পেলাম। খুব সুন্দর প্যাকেটিং ছিল।",Positive
ছেরা এবং কাপড় খারাপ,Negative
"এটা অন্যায়। একদম বাজে,ফেব্রিক দুই নম্বর, বডি আর হাতার রং আলাদা,যেমনটা দেখাইছে, তেমন্টা পাইনি",Negative
দারুন অভিজ্ঞতা। কোয়ালিটির কথা বললে বলবো অনেক ভালো। দাম অনুসারে মান ভালো। ধন্যবাদ সেলার❤️,Positive
আমার প্রথম অডার ছিল দাম অনুযায়ী ঠিক ছিল এবং ডেলিভারি র্সাভিস ভাল ছিল তারা তারি পেয়ে গেছি,Positive
মেটামুঠি ভালো তবে যেমনটা আশা করেছিলাম তেমনটি নয়।এটাও সত্য দাম অনুযায়ী ঠিকই আছে।,Positive
প্রডাক্ট খুব ভাল ছিল যেরকম চেয়েছিলাম সেরকম পেয়েছি আমার খুব ভালো লেগেছে,Positive
"সবই ঠিক ছিলো তবে সাইজ সঠিক নয়,XL বা সকল সাইজ এর মাপ সঠিক হওয়া উচিৎ।",Positive
যেমনটা দেখছিলাম সেইওরকমি পাইছি ধন্যবাদ। দাম হিসাবে অসাধারণ ,Positive
কম টাকায় এত ভাল মানের গেঞ্জি পাবো আশা করিনি ধন্যবাদ দারাজকে ,Positive
কোয়ালিটি তেমন ভালো না ৷ তবে দাম হিসেবে একদিকে ঠিক আছে,Positive
চিটিংবাজির একটা লিমিট থাকা দরকার দিলাম কি আর পাইলাম কি। সাইজ ও ঠিক নাই,Negative
জিনিস ভালো কিন্তু কালার উটাপালটা,Positive
কাপর একদম ভালো ছিলো না ,Negative
"যেমন চেয়েছিলাম,তেমনিভাবেই পেয়েছি। ধন্যবাদ❤️❤️❤️",Positive
অনেক সুন্দর চাইলে নিতে পারেন🤗🤗,Positive
এক্কে বারে বাজে হয়েছে আমার টা,Negative
সব ঠিক আছে কিন্তু হাতা সর্ট,Positive
এক কথায় অসাধারণ খুবি ভাল জিনিষ দিয়েছেন সেলারকে ধন্যবাদ সাথে গিফ্ট ও পেয়েছি,Positive
অর্ডার ছিল ৯ পেকেট হাতে পাইলাম ৮ পেকেট এক প্যাকেট কম দিছে।😡😡,Negative
"বেশ ভালো কাজ করছে এইটা, আম্মু অনেক খুশি হইছে",Positive
মনে করেছিলাম বেগুনি কালার কিন্তু দিলেন সবুজ কালার এবং ব্যাটারি টা দিলেন না টাকা তো নিয়েছেন 160 টাকা কিন্তু আরো 30 টাকা গেল আমার  আমি কোনদিন তারা যে অর্ডার দিব না ধন্যবাদ,Negative
খুবই সুন্দর পণ্য। সবচেয়ে ভাল ব্যাপার যে নির্ধারিত সময়ের আগেই পেয়ে গেলাম। সবাই নিতে পারেন কোন সমস্যা নেই।,Positive
আলহামদুলিল্লাহ অনেক ভালো ভাবে হাতে পেয়েছি.কিন্তু প্যাকেজিং খুবই খারাপ ছিল এছাড়া ভালোই কাজ করছে ধন্যবাদ,Positive
"কালার ফ্যামিলি ব্ল্যাক লিখা, পাঠাইসেন পিংক। সাথে ব্যাটারি নাই,ইনক্লুড করা উচিত ছিল।",Negative
ফটোতে যেমন দেখেছি তেমনটিই পেয়েছি। সেলার ভাই একদম সৎ ও বিশ্বাসী। আপনারা নিতে পারেন। ধন্যবাদ সেলার ভাই এবং দারাজ কে👍,Positive
দাম ভাল কিন্তুু উপর থেকে নিছ পরযন্ত একটি যায়গায় সুতা ছিলনা। তাই আমি পণ্য ভাল বলবো না।,Negative
আলহামদুলিল্লাহ দারাজকে ধন্যবাদ আমার পছন্দের পণ্য দেয়ার জন্য। যেমন দিকেছে টিক তেমন পেয়েছি।,Positive
"সেলার কথা দিয়ে কথা রাখলেন না।বলছে দিবে ব্লু কালার দিছে রেড। বারবার করে বললাম ব্লু যদি না থাকে বলেন, সে বলল সমস্যা নাই। ঠিকঠাক পাবেন। কিন্তু মুনাফেকি করলেন।😠😠",Negative
"ভালই ছিল তবে হাতা খুবই চিপা, অজু করতে গেলে উপরে উঠানো যায় না!",Positive
চাইলাম কালো কালো না থাকলে বেগুনি। সেলার বললো ওকে। পাঠাইলো মেরুন কিছুই বুঝলাম না।,Negative
প্রতারক! সেলার একটা প্রতারক!,Negative
ডেসক্রিপশনে বলার ছিল সুতি কাপড়ের পাঞ্জাবি। তাই তিনটা পাঞ্জাবি অর্ডার করেছিলাম। কিন্তু তিনটা পাঞ্জাবিই সিল্কের! একটাও সুতি কাপড়ের না।,Negative
রং ঠিক আছে। দাম অনুযায়ী সবকিছু মোটামুটি ঠিকই আছে।,Positive
"খারাপ নয়, এই টাকায় দারুন, তবে সেলাইটা আরেকটু ভালো হলে মন ভরতো, তবে খারাপ নয়।",Positive
কম দামির মধ্যে অনেক ভালো। আরাম দায়ক। ধন্যবাদ দারাজ এবং সেলার কে।,Positive
দাম অনুসারে অনেক ভাল হয়েছে। সাইজ ও ঠিক আছে। ধন্যবাদ সেলারকে।,Positive
